frame,x,y
0,482,233
50,481,233
100,481,233
150,482,233
200,482,233
250,482,233
300,482,233
350,482,233
400,482,233
450,481,233
500,481,233
550,481,233
600,481,234
650,481,233
700,481,233
750,481,233
800,481,233
850,481,233
900,481,233
950,481,234
1000,481,234
1050,481,234
1100,481,234
1150,481,234
1200,481,234
1250,481,234
1300,481,234
1350,481,234
1400,481,234
1450,481,234
1500,481,234
1550,481,234
1600,481,234
1650,481,234
1700,481,234
1750,481,234
1800,481,233
1850,481,233
1900,481,233
1950,481,233
2000,481,233
2050,481,233
2100,481,233
2150,481,233
2200,481,233
2250,481,233
2300,481,233
2350,481,233
2400,481,233
2450,481,233
2500,481,233
2550,481,233
2600,481,233
2650,481,233
2700,481,233
2750,481,233
2800,481,233
2850,481,233
2900,482,233
2950,482,233
3000,481,233
3050,481,233
3100,481,233
3150,481,233
3200,481,233
3250,481,233
3300,481,233
3350,481,233
3400,481,233
3450,481,233
3500,481,233
3550,481,233
3600,482,232
3650,482,232
3700,482,232
3750,482,232
3800,482,232
3850,482,232
3900,482,232
3950,482,232
4000,482,232
4050,482,232
4100,482,233
4150,482,232
4200,481,233
4250,481,233
4300,481,233
4350,481,233
4400,481,233
4450,481,233
4500,481,233
4550,481,233
4600,481,233
4650,481,233
4700,481,233
4750,481,233
4800,481,233
4850,481,233
4900,481,233
4950,481,233
5000,481,233
5050,481,233
5100,481,233
5150,481,233
5200,481,233
5250,481,233
5300,482,232
5350,482,232
5400,481,233
5450,481,233
5500,481,233
5550,481,233
5600,481,233
5650,481,233
5700,481,233
5750,481,233
5800,481,233
5850,481,233
5900,482,233
5950,482,233
6000,481,231
6050,481,231
6100,481,231
6150,481,231
6200,481,231
6250,481,231
6300,481,231
6350,481,231
6400,481,231
6450,481,231
6500,481,231
6550,481,231
6600,481,233
6650,481,233
6700,481,233
6750,481,233
6800,481,233
6850,481,233
6900,481,233
6950,481,233
7000,481,233
7050,481,233
7100,481,233
7150,481,233
7200,481,233
7250,481,233
7300,481,233
7350,481,233
7400,481,233
7450,481,233
7500,481,233
7550,481,233
7600,481,233
7650,481,233
7700,481,233
7750,481,233
7800,482,232
7850,482,232
7900,482,232
7950,482,232
8000,482,232
8050,481,233
8100,481,233
8150,481,233
8200,481,233
8250,481,233
8300,482,232
8350,482,232
8400,482,232
8450,482,232
8500,481,234
8550,481,234
8600,482,232
8650,482,232
8700,482,232
8750,482,232
8800,481,234
8850,481,234
8900,481,234
8950,482,232
9000,481,233
9050,481,233
9100,481,233
9150,481,233
9200,481,233
9250,481,233
9300,481,234
9350,480,233
9400,480,233
9450,480,233
9500,480,233
9550,480,233
9600,482,232
9650,481,233
9700,481,233
9750,481,233
9800,481,233
9850,481,233
9900,481,233
9950,481,233
10000,481,231
10050,481,231
10100,481,231
10150,481,231
10200,481,233
10250,481,233
10300,481,233
10350,481,233
10400,481,233
10450,481,233
10500,481,233
10550,481,233
10600,481,233
10650,481,233
10700,481,233
10750,481,233
10800,482,232
10850,482,232
10900,482,232
10950,482,232
11000,482,232
11050,482,232
11100,482,232
11150,482,232
11200,482,232
11250,482,232
11300,482,232
11350,482,232
11400,481,233
11450,481,233
11500,481,233
11550,481,233
11600,481,233
11650,481,233
11700,481,233
11750,481,233
11800,481,233
11850,481,233
11900,481,233
11950,481,231
12000,480,233
12050,480,233
12100,480,233
12150,480,233
12200,480,233
12250,480,233
12300,480,233
12350,482,232
12400,482,232
12450,482,232
12500,481,233
12550,481,233
12600,481,233
12650,481,233
12700,480,233
12750,480,233
12800,480,233
12850,480,233
12900,480,233
12950,480,233
13000,480,233
13050,480,233
13100,480,233
13150,480,233
13200,481,233
13250,481,233
13300,481,233
13350,481,233
13400,481,233
13450,481,233
13500,481,233
13550,481,233
13600,481,233
13650,481,233
13700,481,233
13750,481,233
13800,481,233
13850,481,233
13900,481,233
13950,481,233
14000,481,233
14050,481,233
14100,481,233
14150,481,233
14200,481,233
14250,481,233
14300,481,233
14350,481,233
14400,481,233
14450,482,232
14500,482,232
14550,482,232
14600,482,232
14650,482,232
14700,482,232
14750,482,232
14800,482,232
14850,482,232
14900,482,232
14950,482,232
15000,480,233
15050,481,233
15100,481,233
15150,481,233
15200,481,233
15250,481,233
15300,482,232
15350,482,232
15400,481,233
15450,481,233
15500,482,232
15550,482,232
15600,482,232
15650,482,232
15700,482,232
15750,482,232
15800,482,232
15850,482,232
15900,482,232
15950,482,232
16000,481,234
16050,481,233
16100,482,232
16150,482,232
16200,481,233
16250,481,233
16300,481,233
16350,481,233
16400,481,233
16450,481,233
16500,481,233
16550,481,233
16600,481,233
16650,481,233
16700,481,233
16750,481,233
16800,481,233
16850,481,233
16900,481,233
16950,481,233
17000,481,233
17050,481,233
17100,481,233
17150,481,233
17200,481,233
17250,481,233
17300,481,233
17350,481,233
17400,481,233
17450,481,233
17500,481,233
17550,481,233
17600,481,233
17650,481,233
17700,481,233
17750,481,233
17800,481,233
17850,481,233
17900,481,233
17950,481,233
18000,481,233
18050,481,233
18100,481,233
18150,481,233
18200,481,233
18250,481,233
18300,481,233
18350,481,233
18400,481,233
18450,481,233
18500,481,233
18550,481,233
18600,481,233
18650,481,233
18700,481,233
18750,481,233
18800,481,233
18850,481,233
18900,481,233
18950,481,233
19000,481,233
19050,481,233
19100,481,233
19150,481,233
19200,481,233
19250,481,233
19300,481,233
19350,481,233
19400,481,233
19450,481,233
19500,481,233
19550,481,233
19600,481,233
19650,481,233
19700,481,233
19750,481,233
19800,481,233
19850,481,233
19900,481,233
19950,481,233
20000,481,233
20050,481,233
20100,481,233
20150,481,233
20200,481,233
20250,481,234
20300,481,234
20350,481,233
20400,481,233
20450,481,233
20500,481,233
20550,481,233
20600,482,232
20650,482,232
20700,482,232
20750,482,232
20800,482,232
20850,481,233
20900,481,233
20950,481,233
21000,481,233
21050,481,233
21100,481,233
21150,481,233
21200,481,233
21250,481,233
21300,481,233
21350,481,233
21400,481,233
21450,481,233
21500,481,233
21550,481,233
21600,481,233
21650,481,231
21700,481,231
21750,481,231
21800,481,231
21850,481,231
21900,481,233
21950,481,233
22000,481,233
22050,481,233
22100,481,233
22150,481,233
22200,481,233
22250,481,233
22300,481,233
22350,481,233
22400,481,233
22450,481,233
22500,481,233
22550,481,233
22600,481,233
22650,481,233
22700,481,233
22750,481,233
22800,482,232
22850,481,233
22900,481,233
22950,481,233
23000,481,233
23050,481,233
23100,481,233
23150,481,233
23200,481,233
23250,482,232
23300,482,232
23350,482,232
23400,481,233
23450,481,233
23500,481,233
23550,481,233
23600,481,233
23650,481,233
23700,481,233
23750,481,233
23800,481,233
23850,481,233
23900,481,233
23950,481,233
24000,481,233
24050,481,233
24100,481,233
24150,481,233
24200,481,233
24250,481,233
24300,481,233
24350,481,233
24400,481,233
24450,482,232
24500,482,232
24550,482,232
24600,482,232
24650,481,233
24700,481,233
24750,481,233
24800,481,233
24850,481,233
24900,481,233
24950,481,233
25000,482,232
25050,482,232
25100,482,232
25150,482,232
25200,481,233
25250,481,233
25300,481,233
25350,481,233
25400,481,233
25450,481,233
25500,481,233
25550,481,233
25600,481,233
25650,481,233
25700,481,233
25750,481,233
25800,482,232
25850,482,232
25900,482,232
25950,482,232
26000,482,232
26050,482,232
26100,482,232
26150,482,232
26200,482,232
26250,481,234
26300,481,234
26350,481,234
26400,481,233
26450,481,233
26500,481,233
26550,481,233
26600,481,233
26650,482,232
26700,482,232
26750,482,232
26800,482,232
26850,481,233
26900,481,233
26950,481,233
27000,481,233
27050,481,233
27100,481,233
27150,481,233
27200,481,233
27250,481,233
27300,481,233
27350,481,233
27400,481,233
27450,481,233
27500,481,233
27550,481,233
27600,482,232
27650,482,232
27700,482,232
27750,482,232
27800,482,232
27850,482,232
27900,482,232
27950,482,232
28000,482,232
28050,482,232
28100,482,232
28150,482,232
28200,481,233
28250,481,233
28300,481,233
28350,481,233
28400,481,233
28450,482,232
28500,482,232
28550,482,232
28600,482,232
28650,482,232
28700,482,232
28750,482,232
28800,481,233
28850,481,233
28900,481,233
28950,481,233
29000,481,233
29050,481,233
29100,481,233
29150,481,233
29200,481,233
29250,481,233
29300,481,233
29350,481,233
29400,482,232
29450,482,232
29500,481,233
29550,481,233
29600,482,233
29650,482,233
29700,482,233
29750,482,233
29800,482,233
29850,482,233
29900,482,233
29950,482,233
30000,482,232
30050,482,232
30100,482,232
30150,482,232
30200,482,232
30250,482,232
30300,482,232
30350,482,232
30400,482,232
30450,482,232
30500,482,232
30550,482,232
30600,481,233
30650,481,233
30700,481,233
30750,482,232
30800,482,232
30850,482,232
30900,482,232
30950,482,232
31000,482,232
31050,482,232
31100,482,232
31150,482,232
31200,481,233
31250,481,233
31300,481,234
31350,481,234
31400,481,234
31450,481,234
31500,481,234
31550,481,234
31600,481,234
31650,481,234
31700,482,233
31750,482,233
31800,481,234
31850,481,234
31900,481,234
31950,481,234
32000,481,234
32050,481,234
32100,481,234
32150,481,234
32200,481,234
32250,481,234
32300,481,234
32350,481,234
32400,481,233
32450,481,234
32500,481,234
32550,481,234
32600,481,234
32650,481,234
32700,481,234
32750,481,234
32800,481,234
32850,481,234
32900,481,234
32950,481,234
33000,482,233
33050,482,231
33100,482,231
33150,482,231
33200,482,231
33250,482,231
33300,482,231
33350,482,231
33400,482,231
33450,482,231
33500,482,231
33550,482,231
33600,482,231
33650,482,231
33700,481,234
33750,481,234
33800,481,234
33850,481,234
33900,481,234
33950,481,234
34000,481,234
34050,481,234
34100,481,234
34150,481,234
34200,482,231
34250,482,231
34300,482,231
34350,481,234
34400,481,234
34450,481,234
34500,482,231
34550,482,231
34600,482,231
34650,482,232
34700,482,232
34750,482,232
34800,482,231
34850,482,231
34900,482,231
34950,482,231
